 ,tweet,"HUMAN CATEGORY
 ARYAMAAN:1-1000,4000-4468
 Michael-Mehmet:1000-4000",SUB CATEGORY,COMMENTS,"NEW HUMAN CATEGORY
 0-1000 /4000-4468 Michael
 1000-2500 Mehmet 
 2500-4000 Aryamaan",SUB CATEGORY,COMMENTS,human category (Tarun),SUB CATEGORY,COMMENTS,NEW CATEGORY,keyword,human - category,human - Sub category,Comment,HUMAN CATGEORY_NEW(ARYA),location,COMMENTS (FROM PARIJAAT),Category,Sub-category
1563,"How can you ensure that if any asymptomatic patient declares himself ' Safe' on #AarogyaSetu how can you ensure health &amp; safety of the customers? 
 @HSBC can you communicate this to us ? 
 Don't copy paste other messages &amp; please do answer. https://t.co/UhM4J0Vtkj",General,,,Customer Query,,query,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/a,,"Kolkata, West Bengal",,{'category': 'General',subcategory': 'General'
1564,"Goldman Sachs, Citi, HSBC among banks telling staff to stay at home - Financial News
 https://t.co/IdWL5HwIxJ",General,,,General,,,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/a,,United Kingdom,,{'category': 'General',subcategory': 'General'
1565,@robbosreds7 @Barclays @HSBC_UK Which one? ðŸ¤¯,General,,,General,,,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/a,,Naaaaarwich via Essex,,{'category': 'General',subcategory': 'General'
1566,"Hi @HSBC_IN , I don't remember my ID and password for credit card. Can't find the link on the ""logon"" page for retrieving it. Please help. It is urgent!",General,,need help,Customer Query,,need help,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/a,,Bombay,,{'category': 'General',subcategory': 'General'
1567,"Amid London gold turmoil, HSBC taps Bank of England for GLD gold bars https://t.co/kffISEGbl0",General,,,General,,,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/a,,,,{'category': 'General',subcategory': 'General'
1568,"@HemantAnjara Hello , Kindly send an SMS as HSBCSM to 575750 from your registered mobile number so that we can fetch your details and send to the concerned team to have this checked for you on priority. ^Alpa",Customer Service Response,,customer service reply,Customer Service Response,,customer service reply,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/a,,"Mumbai, India",,{'category': 'General',subcategory': 'General'
1569,"Halifax, Santander and HSBC have started to book in physical valuations on stalled mortgage applications after the government gave the green light for the housing market to reopen. https://t.co/OD4Wvmq7r9 #property",General,,,General,,,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/a,,,,{'category': 'General',subcategory': 'General'
1570,HSBC'ers look miracles do happen. Get the ecosign forms sent back when you get them https://t.co/9lxiggTqYs,General,,,General,,,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/a,,,,{'category': 'General',subcategory': 'General'
1571,"@MissyAero @Barclays @HSBC_UK me too, does anyone have a phone number to chase them specifically for this?",General,,,General,,,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/a,,,,{'category': 'General',subcategory': 'General'
1572,@lisaabramowicz1 The more curious it is HSBC gets an upgrade..,General,,,General,,,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/a,,,,{'category': 'General',subcategory': 'General'
1573,"@simonnread @barclaysuknews @barclaysuknews , @HSBC_UK and others which can't cope with the volumes....Poor communication and anxiety rising.",General,,,BAD REPUTATION,,,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/a,,"London, United Kingdom",,{'category': 'General',subcategory': 'General'
1574,"@kingslyj Hello , we certainly understand your concern, and we at HSBC follow the highest standards of information/data security however kindly write into us with your concern details on, https://t.co/C84Sydywcr so that our team can get in touch with you.^Alpa",Customer Service Response,,customer service reply,Customer Service Response,,customer service reply,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/a,,"Mumbai, India",,{'category': 'General',subcategory': 'General'
1575,Almost an hour waiting for the Dispute Team to answer the call. Shame @HSBC_UK You have 0 of professionalism. https://t.co/7EUWLVGZ47,BAD REPUTATION,,long waiting time,BAD REPUTATION,,long waiting time,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/a,,Reino Unido,,{'category': 'General',subcategory': 'General'
1576,$DOW HSBC Downgrades Dow to Hold,General,,,General,,,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/a,,,,{'category': 'General',subcategory': 'General'
1577,@JoanneDawe2 @Bounce_BackLoan Signed mine yesterday after they appeared out of nowhere. No funds yet though. Or do I have more signing to do? Love a bit of signing It's all a fun mystery at the moment seeing as how HSBC dont bother communicating anything. How hard is it to set up a how it works page/email https://t.co/GHjytOIeYs,DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/a,,"Manchester, England",,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays'
1578,@refill1000 @MartinSLewis It took her about a week for 5k from application (for a personal HSBC a/c) &amp; took us just over a week for 25k (with a HSBC business a/c) ..I believe HSBC are taking non account applications also.. may just take a little longer,General,,,General,,,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/a,,"Northampton, England",,{'category': 'General',subcategory': 'General'
1579,"@HSBC_Expat Minimum deposit Â£25000!!
 
 Hahaha...
 
 That's a dirty joke ..aye!..",General,,,General,,,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/a,,,,{'category': 'General',subcategory': 'General'
1580,Bajaj finance has good upside potential - HSBC GR https://t.co/ji8IMcOprs,General,,,General,,,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/a,,"Chennai, India",,{'category': 'General',subcategory': 'General'
1581,"@BritishBBank @VeryGrumpyKev @StarlingBank @Bounce_BackLoan @HSBCUKBusiness I'd love if you could help as HSBC, your accredited member are completely incapable.",DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,Customer Query,,bounce back loan,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/a,,"North East, England",,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays'
1582,WEIR GRP PLC/S $WEGRY Downgraded by HSBC https://t.co/bFWiNZftG4,General,,,General,,,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/a,,,,{'category': 'General',subcategory': 'General'
1583,"@JamesSeabright @HSBC Thanks James, great to have you on board ðŸ‘",General,,,General,,,,,,,,{'category': 'Reputation',subcategory': 'General Response from bank (thanks)',General response from bank,,United Kingdom,,{'category': 'Reputation',subcategory': 'Good reputation'
1584,WEIR GRP PLC/S $WEGRY Downgraded by HSBC https://t.co/KSSAiMevMP,General,,,General,,,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/a,,"Florida, USA",,{'category': 'General',subcategory': 'General'
1585,"Day 9 of chasing the banks for a bounce back loan. My bank, @Barclays, made me visit them with paperwork to open a new business account but still no progress - so still canâ€™t apply. @HSBC_UK say my business account application is the process of being...",DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',9 days,,Naaaaarwich via Essex,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays'
1586,"@FacilitiesJet @HSBC_UK @HSBCUKBusiness , I truly hope youâ€™re not going the same route as @NatWestBusiness and messing legitimate business around to get funding to keep their lifeâ€™s work afloat?",General,,,General,,,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',,,"Gillingham, England",,{'category': 'General',subcategory': 'General'
1587,@scoobydotaxi @MartinSLewis @TheFCA I got a BBL from HSBC. No credit checks and in my account within a week. You should question this.,DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,General,,bounce back loan,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',,,Hassocks,,{'category': 'General',subcategory': 'General'
1588,"@HSBC_UK hi, I completed an application for a new current account the other day and Iâ€™m still waiting on my confirmation email, can you please advise?",General,,need help,DELAY,Delay_in_account_openning,,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',,,,,{'category': 'General',subcategory': 'General'
1589,"Double your Alfursan miles when using Alfursan credit card from Alawwal Bank. 
 https://t.co/b0SMEAk1KK https://t.co/XK8IylIVuL",General,,,General,,,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',,,Ø§Ù„Ù…Ù…Ù„ÙƒØ© Ø§Ù„Ø¹Ø±Ø¨ÙŠØ© Ø§Ù„Ø³Ø¹ÙˆØ¯ÙŠØ©,,{'category': 'General',subcategory': 'General'
1590,HSBC bounce back loan Totally different process from when I applied on the 4th May had the cheek to mess up my application and not say nothing after 11 days of waiting. Now told to wait again on fresh application. Do you know your arse from your elbows?Can't survive thanks HSBC!,DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/A,,"Wales, United Kingdom",,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays'
1591,"@BritishBBank @VeryGrumpyKev @StarlingBank @Bounce_BackLoan Want to hear mine? @HSBCUKBusiness 
 Applied Monday 4th. 
 Account appeared Friday 8th
 Email Docs signed and returned Saturday 9th
 Second set of docs Tuesday 12th signed and returned. Hsbc put wrong account number on.
 Complete silence from HSBC. Impossible and 11 days in",DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/A,,"North East, England",,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays'
1592,@Bounce_BackLoan ok so Iâ€™ve just had a call FROM my business manager at hsbc saying what happening was the three 000â€™s should have been *** blanking out the first three digits for security reasons but the â€˜robotsâ€™ used 000â€™s instead and everything is fine to sign them,DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,BAD REPUTATION,,security problem,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/A,,UK wide,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays'
1593,"@HSBC_UK Hi - I randomly received this text today so thought I would it on so you can shut the website / phone number down. Not clicked on it, but presuming itâ€™s fake given I donâ€™t have an HSBC account! https://t.co/8hVuK7MsKJ",General,,info about fake message,General,,info about fake message,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/A,,,,{'category': 'General',subcategory': 'General'
1594,@HSBC @HSBC_UK Just received this text ? Iâ€™m not a HSBC customer ?? Just a heads up ðŸ‘ðŸ» #fraud #itmightbefraud #Suspicious #hsbctext https://t.co/pKnZrUUtXN,General,,info about fraud,General,,info about fraud,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/A,,Here !,,{'category': 'General',subcategory': 'General'
1595,Thanks for tuning into our webinar today. Follow us here on @HSBC or via LinkedIn for latest insights on how global economies and businesses are emerging from #COVID19: https://t.co/K7T4Qon8uh,Customer Service Response,,customer service reply,Customer Service Response,,customer service reply,,,,,,{'category': 'Reputation',subcategory': 'General Response from customer (thanks)',General response,,Hong Kong,,{'category': 'Reputation',subcategory': 'Good reputation'
1596,"@EliteLocksmith2 @Nick62265507 @JaceyLove9 @lynnrob84 @StarlingBank @AltCent @Adamtierney1989 @Bounce_BackLoan @StarlingForBiz Thanks. I applied for a feeder account with HSBC on the 5th,was told they would ring me back in 3-5 days. Not heard anything from them. I bank with Halifax and they are not offering BBL. Iâ€™ve heard Metro are jumping on board so that might be plan â€œcâ€ are you eligible for SEISS",DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/A,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays'
1597,@HSBC_UK waiting to be contacted for a feeder account for a BBL. What is the typical time please?,DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/A,,London,,{'category': 'General',subcategory': 'General'
1598,"@gentlemansb @Barclays @BarclaysBizChat @BarclaysUKHelp @MartinSLewis @BorisJohnson Donâ€™t try HSBC, most are all still in limbo.... they are just as bad.. try starling",General,,,General,,,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/A,,"London, England",,{'category': 'General',subcategory': 'General'
1599,"@m_samina Hello Ms. Motlekar, As per the IBA issued, Precautionary Measure Post Lock Downâ€™ advisory, it has been prescribed as part of the Safety and Security Procedures at Branches/ Offices. ^Nilesh",DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,Customer Service Response,,customer service reply,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/A,,"Mumbai, India",,{'category': 'General',subcategory': 'General'
1600,"@Barclays @BarclaysBizChat @BarclaysUKHelp @MartinSLewis @BorisJohnson #bouncebackloans my experience is quite simply appalling. Spent days on the phone.. Been trying for 12 days now by phone, email &amp; twitter. Now even trying #hsbc... Really really bad..",DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,BAD REPUTATION,,,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/A,,"London, England",,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays'
